,0 steps,,1000 steps,,2000 steps,,3000 steps,,4000 steps,,
,EPE Train,EPE Adapt,EPE Train,EPE Adapt,EPE Train,EPE Adapt,EPE Train,EPE Adapt,EPE Train,EPE Adapt,Gradient Updates
Virtual KITTI Scene 01 (447 images),,,,,,,,,,,
Nonstop,3.954,18.389,7.106,3.762,8.006,3.839,7.949,3.676,8.195,3.757,4000
VS,3.954,18.389,7.075,3.75,7.361,3.582,7.361,3.582,7.361,3.582,1800
ER,3.954,18.389,4.482,3.781,4.336,3.703,4.335,3.503,4.304,3.501,4000
VS + ER,3.954,18.389,4.466,3.747,4.335,3.709,4.374,3.502,4.329,3.521,3968
Virtual KITTI Scene 20 (837 images),,,,,,,,,,,
Nonstop,3.954,17.471,7.708,5.946,8.414,5.497,8.78,5.299,8.014,4.255,4000
VS,3.954,17.471,7.94,5.384,8.522,5.417,8.245,4.109,8.245,4.109,1220
ER,3.954,17.471,4.509,4.482,4.669,4.54,4.435,3.648,4.269,3.317,4000
VS + ER,3.954,17.471,4.506,4.398,4.645,4.46,4.41,3.726,4.41,3.726,2484
KITTI Campus (1149 images),,,,,,,,,,,
Nonstop,3.954,16.771,8.147,5.224,8.402,4.994,9.383,5.591,9.136,5.309,4000
VS,3.954,16.771,8.128,5.08,8.547,5.285,8.521,5.274,8.743,5.278,2521
ER,3.954,16.771,4.449,6.264,4.403,5.694,4.617,5.541,4.458,5.201,4000
VS + ER,3.954,16.771,4.447,6.179,4.481,5.763,4.463,5.709,4.464,5.548,2570
KITTI City (8027 images),,,,,,,,,,,
Nonstop,3.954,14.431,9.245,3.969,9.096,3.139,9.032,3.114,9.261,3.299,4000
VS,3.954,14.431,9.251,4.038,8.98,3.158,9.742,3.523,9.742,3.523,2800
ER,3.954,14.431,4.355,5.319,4.56,4.28,4.499,4.063,4.53,3.946,4000
VS + ER,3.954,14.431,4.36,5.286,4.555,4.265,4.527,4.207,4.527,4.207,2400
KITTI Road (5674 images),,,,,,,,,,,
Nonstop,3.954,23.451,8.953,3.9,9.397,2.78,9.709,2.81,10.659,3.014,4000
VS,3.954,23.451,9.089,4.046,8.362,3.249,8.362,3.249,8.362,3.249,1200
ER,3.954,23.451,4.625,7.224,4.558,4.75,4.529,4.701,4.99,4.245,4000
VS + ER,3.954,23.451,4.623,7.34,4.543,4.792,4.543,4.792,4.543,4.792,2000
Virtual KITTI Fog (1787 images),,,,,,,,,,,
Nonstop,1.162,3.925,7.929,5.845,44.044,3.381,22.101,5.223,15.893,4.632,4000
VS,1.162,3.925,6.55,5.55,43.737,3.399,4.849,18.781,16.858,4.664,3227
ER,1.162,3.925,1.509,4.447,1.632,3.266,1.403,3.132,1.27,4.093,4000
VS + ER,1.162,3.925,1.501,4.608,1.529,3.419,1.317,2.807,1.312,4.104,2605
Virtual KITTI Rain (1787 images),,,,,,,,,,,
Nonstop,1.162,3.89,4.437,3.908,4.404,4.243,3.574,4.077,4.45,5.036,4000
VS,1.162,3.89,4.795,3.811,4.681,4.27,3.797,3.924,4.645,4.289,3225
ER,1.162,3.89,1.481,3.224,1.473,3.357,1.43,3.142,1.288,3.211,4000
VS + ER,1.162,3.89,1.482,3.243,1.455,3.357,1.433,3.155,1.293,3.211,3621
